ProperName,BayerName,Cst,Constellation_Full,Vmag,ra_rad,dec_rad,pi_rad,mu_alpha_cosdec_rad_d,mu_delta_rad_d,HR,HIP
,The,Car,Carina,2.76,2.805429640472881,-1.1238956866848602,3.471266e-08,-2.4370100438524524e-10,1.5967990646811e-10,4199,52419
Hatysa,Iot,Ori,Orion,2.77,1.4636026456512854,-0.10314721102015194,6.7873915e-09,1.88483347618218e-11,-6.105798584815513e-12,1899,26241
Kornephoros,Bet,Her,Hercules,2.77,4.32065431701607,0.3750651254355179,1.1364033e-07,-1.3160650645314305e-09,-2.0427878308763202e-10,6148,80816
Cebalrai,Bet,Oph,Ophiuchus,2.77,4.64027611386794,0.07970773866436773,1.9319825e-07,-5.501855463926152e-10,2.1149955358793558e-09,6603,86742
,Gam,Lup,Lupus,2.78,4.080322387910264,-0.7184943709614846,3.7573063e-08,-2.0733168238003978e-10,-3.3754447393882275e-10,5776,76297
Cursa,Bet,Eri,Eridanus,2.79,1.3432514978250212,-0.08877203125997536,1.76957e-07,-1.0993092147704796e-09,-1.0006872941505248e-09,1666,23875
Rastaban,Bet,Dra,Draco,2.79,4.583378376587734,0.912830915374108,4.1597016e-08,-2.109155206798228e-10,1.6299827526420542e-10,6536,85670
,Bet,Hyi,Hydrus,2.8,0.11193393168751015,-1.34835472344626,6.499898e-07,2.946100911074222e-08,4.301800572506216e-09,98,2021
Imai,Del,Cru,Crux,2.8,3.2076793268522703,-1.0253617674681585,4.5814893e-08,-4.753231463527033e-10,-1.3751320291019284e-10,4656,59747
,Zet,Her,Hercules,2.81,4.368957426311722,0.5515569741534689,4.5242814e-07,-6.125974267095772e-09,4.543245086110116e-09,6212,81693
Kaus Borealis,Lam,Sgr,Sagittarius,2.81,4.834436191879619,-0.44368446430152114,2.0226427e-07,-5.941207492529181e-10,-2.4643534027322784e-09,6913,90496
Tureis,Rho,Pup,Puppis,2.81,2.127316533361236,-0.4241924448283417,2.488549e-07,-1.106344156618202e-09,6.136327577739589e-10,3185,39757
Paikauhale,Tau,Sco,Scorpius,2.82,4.345357830643575,-0.49246143153628724,3.335518e-08,-1.3127466957353351e-10,-3.030334384594307e-10,6165,81266
Algenib,Gam,Peg,Pegasus,2.83,0.05775222011325401,0.2650040933038206,4.0384982e-08,2.6281480865075466e-11,-1.2317784971106077e-10,39,1067
Vindemiatrix,Eps,Vir,Virgo,2.83,3.4129012156183567,0.19127241104203344,1.4428056e-07,-3.634277505483668e-09,2.649385646802557e-10,4932,63608
